,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,org.eclipse.collections.impl.block.procedure.NonMutatingAggregationProcedureBenchmark.benchmarkProcedure,8596.081225729198,10751.107253326883,9391.301639446316,10323.816475684842,9606.641502264703,9244.756787499784,8975.084379456117,9406.913536859845,9954.993799964475,10877.609982412274,9400.931808484733,10799.197763828659,10261.154981908561,10268.603483508365,9231.295801250835,10677.713570515432,10212.33842972143,10174.347110211442,9579.484377131015,10082.818451151454,10328.900506367474,10186.560583590805,9578.821881003389,10214.355552958781,9766.697061666344,9816.45145886847,9159.348844795571,9571.098432745217,9824.931953809313,9408.988292440159
1,org.eclipse.collections.impl.list.immutable.ImmutableArrayListBenchmark.collect,30624310.48150375,32472294.980899096,26943890.395387452,32274997.39116595,35499247.035062306,33889630.693621606,26072804.202486306,33752714.35704807,35587396.14855841,35738818.96564807,26901844.832801204,35722319.11314599,34724026.16683053,35069938.31578125,25892035.812396884,33982257.818973444,34064827.69082294,34031766.43234881,26752103.492070936,34088132.43363081,34051564.62818211,33952482.988028005,26772872.2847934,33958934.439136244,33816901.79353098,35629048.32202895,26396009.085136253,35596283.01893052,35732837.44719503,34753734.40807386
2,org.eclipse.collections.impl.set.sorted.mutable.TreeSortedSetBenchmark.addAll,179029915.84372476,179465945.4786343,174089354.3043208,178565380.6636101,183627276.43965107,178696655.31773815,174871301.65325254,159694767.77667233,169008787.28265122,177477636.26065582,183896847.750069,189424807.37302214,189814817.31893373,178412131.6815957,173591500.94992042,188670912.96283457,181080523.6618051,176176481.77036226,179667498.29473445,187319143.6379867,173829403.53642046,165174807.86406767,186568580.0510117,177171116.93492165,176775089.48316506,188431308.87339303,177469642.17855778,187781862.86987245,187506396.66504884,178578421.34488076
3,org.eclipse.collections.impl.list.mutable.FastListBenchmark.fastListAddAll,418814.7622412636,418496.9332077693,418944.16084039054,401435.0559184332,415901.67032711563,416457.10085032455,417180.9903325673,416978.90280024044,414419.7683124585,416079.3927674095,435349.9640596199,435156.01549631107,434838.0273338252,425983.18514230876,418035.97264223336,435258.57554511685,418092.0034542628,416269.4932210248,435114.6372214441,416338.4708002734,417222.20669741614,436937.03566773096,416665.90805156436,416133.4739079526,433038.6739846534,418486.57758555614,408405.9210646245,428928.50133420667,429934.88874584984,428267.02190978074
4,org.eclipse.collections.impl.lazy.SelectInstancesOfIterableBenchmark.anySatisfy,69884099.06950529,70319119.51952851,70380079.44970207,41973376.483935855,65568728.69597515,69848874.82916272,73103998.8733594,40350085.34144645,70321125.80646943,70110488.8585347,59243866.841542326,33540712.077580698,58073846.97888831,58270636.98064514,56512515.221136525,33457047.99044685,53168691.62394875,57472249.97014718,54765147.00146347,33733329.11392831,52450388.25811595,58020640.39943301,54853942.581476994,33679462.20594924,55169594.69424327,55416404.21246948,54957666.760876924,33941592.34063568,58252022.40987897,56878586.79764881
5,org.eclipse.collections.impl.list.mutable.CompositeFastListBenchmark.batchForEachComposite,3210206.7167783235,3204561.565513288,3190733.403384092,3196141.324391866,3214868.7452501087,3190177.2158853253,3204458.9297361723,3212945.893487379,3205044.6624125284,3205104.450393682,3148600.0034919158,3205718.963904485,3205341.75289043,3212373.290602522,3204077.233429851,3201680.558005086,3213642.6781432023,3204081.0093859253,3211694.87089395,3205828.8343748464,3208690.226960467,3212048.7143308204,3214011.2867810787,3190733.3524445053,3212505.5638335804,3207896.00194465,3205264.8389403983,3205954.6137184915,3204494.848468035,3214588.1982587557
6,org.eclipse.collections.impl.block.procedure.BiMapCollectProcedureBenchmark.testBiMapCollect,116396.69318084548,127243.60194496764,124575.7414294001,121953.39951813922,131089.37492210726,130362.56843879864,126979.20540952633,130169.3945753469,130396.29751983933,131354.3392783146,122315.80412151584,120866.07709124393,130319.12723768443,125310.59425460528,124041.31102569272,127812.48323587763,128438.22519375914,130210.48090983968,132090.29552058497,128009.88639367037,129913.95970699383,131029.67726006327,125053.84315459385,129597.51578757323,120818.24966607081,129115.58346847261,124352.26744853148,129432.4425230585,122592.08125503089,131027.27489068768
7,org.eclipse.collections.impl.block.procedure.BiMapCollectProcedureBenchmark.testBiMapCollect,10064.78353337028,10561.674847282371,11026.911009365125,11710.22160940051,11613.522243415846,10693.712582797401,10389.761806342392,12089.344164516562,10435.835790832605,10052.448547824282,10461.123452291758,10626.399029441558,11635.35764355987,11212.024350709531,11434.549153038186,11292.09378769814,11846.660438569968,10942.240935832511,11084.969144972887,10509.590382136364,11518.8666137522,10001.224768288934,10616.467311230745,10574.039160752069,10911.225021656808,10994.654392047516,11043.396414245819,10759.242585316115,11159.726372386745,10481.253906949134
8,org.eclipse.collections.impl.block.procedure.BiMapCollectProcedureBenchmark.testBiMapCollect,1002.8047599300702,1038.6030085404275,1029.9186935132739,1064.578308897383,1116.721494126251,1117.8430480950244,1124.9475822881323,1093.8254615525764,1123.0374389958495,959.2150695125425,1093.7431245835035,1075.665908925347,1064.7278236264465,1110.3013040438848,1058.9524842026267,1124.5848415533317,1081.7079918458933,1118.448946914549,1128.4762463822085,1076.2997948713498,1120.3470998020368,1064.6903848420168,1124.3942595781145,1052.3486498555205,1118.4653321879969,1074.3321424979483,1119.3877866704897,1076.3728954637468,1122.830661416629,1115.867444757606
9,org.eclipse.collections.impl.set.sorted.mutable.SynchronizedSortedSetBenchmark.benchmarkAddToRegularSet,802160.8409792451,791134.3168201707,803356.5499948689,793466.4015891979,800559.8185686313,789913.0434650475,802785.9835892976,773565.5222562088,800331.327379941,781569.863593429,799255.0555165552,805028.6218189441,774803.834967937,801866.5128516781,793166.9757032425,794241.1839583492,800238.459328999,770018.8840768159,803883.1970971972,799460.5889030887,778341.7476327603,776228.8733722495,800040.0983162846,794188.8754807333,786922.4443324424,790498.9824125426,803276.2770950237,492467.79395210603,775452.451597347,783636.6792000651
