,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,io.reactivex.rxjava3.internal.jdk8.ParallelMapOptionalTest._Benchmark.benchmark_b9db97e6_allNoneConditional,24353.087289583873,33494.7233950354,31109.699267625172,34284.778030241454,33464.96261927306,32966.36382472008,35874.78046841786,34056.78493388461,33708.46571785038,34185.978057026776,36474.51603706328,36094.26366983867,36557.77760379137,34029.534448380204,35974.91110598966,34953.0608579341,36990.806563004786,37310.50324111589,36777.30511119308,36750.30688605696,36493.207326626725,36714.44998151757,36964.6367053472,35391.48213331841,35443.69449771893,36432.060787336304,33143.66700466746,36424.40144173207,36327.48408819806,33656.49335323095
1,io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapTest._Benchmark.benchmark_64108d6f_someConcurrencyInnerScalarCancel,836676.7349691844,1120652.7214517365,1179300.3431671942,1245333.6628922455,1255901.7570340429,1242681.1777862506,1088908.7234403628,1313162.6131272463,1180988.931115569,1275912.035285754,1198751.8456938504,1330305.4044066076,1348205.7944460833,1385549.7023543937,1307659.1688264392,1375590.81577899,1222476.2167292726,1266110.7300626233,1377465.9138345537,1380729.4412266195,1433959.2571298087,1444969.330781651,1376202.0619103098,1298738.4716632045,1381474.0103508537,1420609.8646957201,1359685.779852352,1360470.210321325,1365516.6214865486,1368099.3513234626
2,io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapSchedulerTest._Benchmark.benchmark_03e8fbac_concatMapInnerErrorDelayError,272518.78266384033,341968.78260087303,365897.76525128237,344062.5196124859,342403.19610765995,338953.74746821646,374638.86946964037,367184.0093996114,343582.79541566514,345212.9894761551,343115.8723169135,377782.1950719988,373958.65125021606,361071.7098383961,341859.4509029027,358683.8883594033,363892.54401933134,342366.03305091406,376609.3024464205,379873.5521772806,382883.6299865546,369188.8111663527,379660.47830685385,351695.1479184423,379840.3171520501,341714.57588607527,377881.8373932302,342946.7045703811,381713.6150135496,381164.9623682019
3,io.reactivex.rxjava3.internal.jdk8.ParallelMapOptionalTest._Benchmark.benchmark_587e2c22_mapCrash,169602.7254998913,196746.0638986185,196957.83570661512,191870.21833338882,192163.77456742327,187563.01573074263,198872.77358430898,214354.93100059012,218229.37929494935,187136.77066785807,199685.09434545023,224409.7439892568,205981.71721916934,197672.56281891573,194416.26283734007,220899.97572282053,223755.19405339612,225498.4301339168,207559.12641902993,224001.17095061237,194685.88367691843,209829.69730476907,214658.81832092852,227094.35035569934,228000.9041219359,226163.92985846908,225945.09778614875,227786.33516697714,227340.97173530355,208791.61463122535
4,io.reactivex.rxjava3.observable.ObservableNullTests._Benchmark.benchmark_55bd4734_flatMapIterableMapperIteratorNull,32002.87202161995,31918.164516591798,33978.77671236666,34090.08136039029,33992.96073681117,32673.183402012837,34307.378709598765,34304.55835838885,33752.4737693083,33364.73505465594,33306.82600177613,34535.952639345785,34463.10263941324,33987.31276617882,34341.68207353891,32885.97754977737,34051.62823002889,34678.468081505656,34387.427521596226,34403.88585359725,34344.26566935905,34480.29069438374,34469.93390133943,34496.51446334054,34597.143539672215,33120.4996692837,32344.808563631665,33831.75125596416,33828.533006852536,34253.459256521885
5,io.reactivex.rxjava3.internal.operators.flowable.FlowableFirstTest._Benchmark.benchmark_970de657_firstOrErrorErrorFlowable,10065.858144735565,12692.618114012426,27605.724811833217,26144.48794893976,31755.9674735673,34008.11313620834,34594.79185385132,34500.87851708853,32166.989449400204,31503.5253548155,32835.320360808546,34500.13718297694,34804.15796886385,32429.45070192304,29243.79697303622,33494.722052430225,34576.638677235074,33240.77551858971,30043.568121234526,33106.707422622676,34478.97361158233,34306.242912496324,34801.33914641236,34715.531890633094,34854.93862218664,31791.11713817665,30479.050372373338,34248.39500689514,32953.150413293595,30172.19938034556
6,io.reactivex.rxjava3.internal.operators.observable.ObservableTimeoutWithSelectorTest._Benchmark.benchmark_d8f16e15_disposedUpfrontFallback,785420.1273075888,1050397.5501901866,1197505.466491438,1131783.923248049,1142270.9822891993,1228292.3479842925,1144376.537637636,1281929.931150006,1325172.6010247879,1270307.601283873,1254784.8057998442,1259081.1105555461,1129819.1788810727,1019022.2925722814,1130301.5465651301,1065436.984466471,1103934.6949016799,1209285.0178818936,1231469.6178486922,1149396.9842188947,1242065.9018401813,1134791.7679432204,1288392.1240299828,1277602.4933834635,1311953.9779891202,1258296.2039081177,1258202.3020520404,1260721.597430464,1266075.9593004247,1258879.4878174276
7,io.reactivex.rxjava3.internal.operators.observable.ObservableCreateTest._Benchmark.benchmark_ab22db15_createNullValueSerialized,229.99727643908923,186.54827120906404,317.2631725844248,199.68890273161168,284.2750468217232,223.80488108920937,249.13531064287338,226.91982217296206,235.66735066195895,229.97698166630187,258.8785718192846,225.47956405048703,146.18876381722467,203.94167481527617,181.67875419917374,137.035904954358,157.96944211168193,168.2496336990115,143.52478101985088,159.93039720014045,146.99546114794123,153.1307273885423,164.25057097833772,141.2752698733662,155.57717154052543,123.27785252153389,147.91243539745386,165.40039717293035,152.1211011911662,221.33475127352477
8,io.reactivex.rxjava3.internal.operators.flowable.FlowableFromCompletableTest._Benchmark.benchmark_ff025258_syncFusedRejected,10511.62144725179,14002.254246802471,17124.780497642103,25496.636186905267,35447.26264240494,1025.494701019435,7396.789464604197,11929.397875400677,30345.68248245286,16894.522127143693,17505.132285351337,37834.12995549966,42218.72435173043,40087.85470292422,38623.577590231274,43207.5954370771,40657.856652893715,39710.376204260014,41319.962329424736,43464.666459391374,43808.121331847346,40651.19101214967,41730.170582691404,40780.75631670706,43451.99112746047,44134.93592491561,39987.26677174676,41583.192331443846,39041.834330729296,42858.89884974032
9,io.reactivex.rxjava3.schedulers.ComputationSchedulerTests._Benchmark.benchmark_c411da44_unwrapDefaultPeriodicTask,9.93993865622522,9.941558785278152,9.949085970408047,9.95251232393227,9.953233765688239,9.952190591997578,9.95660257453568,9.955915980599352,9.953383299456844,9.957001971439592,9.95479121164353,9.958123085074092,9.957891135460715,9.95896294789247,9.957063747133436,9.949828962539632,9.944537929675429,9.949832081012145,9.951481393243538,9.953860997518396,9.949193428937402,9.952831382267854,9.957651512147699,9.955639700445314,9.955435875110654,9.958643000449507,9.950826844801327,9.957749795378946,9.957496803280078,9.957003071914674
