,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,zipkin2.internal.V1ThriftSpanWriterBenchmark.measureWriteSingleSpan,1290040.4813612748,1398892.1145857188,1553360.5393582918,1570360.366445664,1492646.5989539989,1340136.037764097,1573344.042170608,1500176.1158145638,1394127.5316367336,1614848.9542462572,1578451.2275351558,1528938.7755760145,1462691.8135221044,1543360.7926401973,1643350.1668188178,1583416.7958825894,1493122.033077515,1507608.9810172615,1508666.5914280214,1642151.077685488,1565798.0997989788,1471403.0553041983,1483716.078820635,1502458.0389416248,1633550.2939868625,1648943.9681752669,1548822.0593792181,1495696.4517414183,1431218.4990140996,1474799.6720538335
1,zipkin2.internal.JsonEscaperBenchmark.benchmarkUnicodeEscape,2314381.2213795236,3755684.7132161823,4391904.44711541,4034458.678287975,4148248.429582441,4574779.811715957,4349256.747581119,4389631.759904855,4180551.3085133056,4687048.7628915,4711303.423074745,4233514.105762443,4260728.072684911,4503532.235165948,4860834.594199666,4927662.140749937,4665356.163824811,4763357.304598469,4183525.556678537,4412029.276236013,4576488.243825889,4681825.262672528,4417980.950420297,4786715.52062147,4830994.046393956,4875025.730022029,4783269.910122411,4862465.463841851,4921504.585540725,4681591.874229083
2,zipkin2.internal.HexCodecBenchmark.benchmarkLowerHexToUnsignedLong_MaxLength,30141543.15956641,30039190.023794234,30291717.890847232,30432551.343858518,30414613.458564624,30261789.73777475,30191306.67542234,30495978.743255973,30080372.84629846,30235690.62286652,30753883.62712454,30234584.828046504,30301958.347597472,30191486.195741117,30446117.91612318,30365822.086151093,30436629.918544836,30355062.170677073,30307021.836861838,30524751.71362427,30820408.666822713,30834536.20003037,30967966.768669248,30905456.423201423,31046587.020572662,30698866.644293673,31214686.85256522,30850438.926793247,31037937.524006173,30826554.65241242
3,zipkin2.internal.DelayLimiterBenchmark.cleanupBenchmark,28730281.427333325,29289768.238372784,30186176.938068923,30040228.920873754,30208930.54722969,30175140.681067023,30153794.635096125,30228947.134059876,30001373.91609298,25122268.582449976,28044858.824533235,30065879.341927826,30044585.82547406,30074640.936359584,29975882.573398214,30042464.530277595,29948165.041269362,30025148.22824648,30036573.992690578,30071447.50972497,30018962.677246653,29978226.728785463,29949092.497136768,30008917.07456993,29878767.661023907,30124308.85538498,30048623.94047126,30344475.754185986,30144215.755061064,30016322.45392885
4,zipkin2.internal.ReadBufferBenchmark.readIntDirectBE,135508388.81918237,126889697.29286504,135998995.51038224,135109209.50770643,133385026.18195337,135194820.69033185,129880461.90307932,127128303.24542631,133648354.98559137,134554025.5118467,131466580.23650958,137290357.3444901,135181384.6709626,131002063.81503165,135120829.96644965,135291196.3577586,135592183.92192456,136220645.24244896,133867358.42375313,134375031.32955596,135741236.72901234,136477153.50532615,135674692.41064772,135865770.45561656,135316870.1436161,135252516.17415562,135635132.3830781,134571851.1674239,135687429.3442472,135439008.5079987
5,zipkin2.codec.SpanBytesDecoderBenchmark.decodeOne_jsonV2_buffer,82390.57301301319,152556.83456343255,272550.06269459217,251113.98841933822,267153.60413572995,437586.0165226498,415437.69109922217,305764.14787360793,250432.8037765956,343835.6990732724,351119.3381799341,304739.47201596986,269058.6902308203,347525.09549582325,332446.29272462614,329883.5961586643,270208.08021675114,370256.9506455025,346399.6769775671,329249.41296510556,267446.0201223674,369741.70385420223,410598.6246747168,371037.86540772807,267276.78071786254,343053.5294399897,406063.1306362997,406619.8858108502,279657.18334630044,361182.8174455637
6,zipkin2.codec.SpanBytesDecoderBenchmark.decodeOne_jsonV2,141628.57718717837,180977.6476789498,288098.0426321325,258818.3967836844,217539.9306096144,259137.50561328558,291220.4298200354,331966.7418268408,374670.8924979458,249198.61789141188,265405.324089408,421173.6996944567,347642.6026012771,259113.5880702596,266697.6303618831,422546.39649079076,408026.78339724196,270346.70359198947,334929.3261889047,324088.61645149736,384999.4326388342,254350.96267417312,272213.13031089044,237075.92463201925,280753.98070811474,222876.49592270656,314979.3105176498,263510.8392403846,338253.07207587647,245199.5807518554
7,zipkin2.codec.SpanBytesDecoderBenchmark.decodeOne_jsonV2_buffer,136967.2896258749,75958.99641396503,153784.30566474958,237807.69730042422,259060.13296092013,242282.65097694847,323008.6743795019,352098.19115047425,319900.89669065684,255980.20376583483,322489.43067826435,362088.902644751,306393.0309838532,248287.7877384342,261150.91290729967,373557.68223294005,328226.74355917954,242309.5548435887,264050.34808073577,400505.7058533195,385271.9161846015,250794.52877529518,321532.7426994785,315087.3061075548,280300.29832475795,245028.89219833582,227028.3508052928,279954.82011004025,237474.81492672788,243847.12898495514
8,zipkin2.internal.V1JsonSpanReaderBenchmark.readSmallSpan,154822805.72269252,147604704.92047623,143726978.46564198,147273116.20750615,147888856.77017462,145869856.25540686,146535806.5994562,148036060.21071556,147189244.08073035,148307037.5581966,147520887.45560297,146900115.21780813,147828118.7109519,147697570.32647237,147457561.9123739,147713111.09265208,146934072.4024763,147835743.30371046,148065233.64237475,148407115.86801848,147341160.43765154,147171746.29055974,147268539.6850755,148139718.25469247,148078442.8355144,148317960.77272433,147988464.34775448,148150115.94628733,145395483.7759795,147903191.34629613
9,zipkin2.internal.V1ThriftSpanWriterBenchmark.measureSizeInBytes,3368580.383251104,4565918.801270888,5054146.707319981,4731649.61712583,4837585.757790428,4007046.440621988,4900249.824421878,4527182.588325711,4466975.450161162,4401657.040725202,5168899.825477497,4991369.416322983,4895241.02993986,4905278.655141689,5404087.43511103,5456549.478273274,5223133.199626914,4995136.299343999,5065798.697827394,5209042.297134275,5530546.17989648,5597648.039464818,5631313.173975574,5651531.38744918,5606819.206523662,5486020.531909087,5417261.013862872,5548927.023288532,5124499.707343188,5508941.50161637
10,zipkin2.codec.SpanBytesDecoderBenchmark.decodeOne_thrift,240546508.75935328,245937787.7774287,246377475.74053523,245727175.8939332,248635141.28873926,248080862.630904,247053398.0170446,248938745.09578738,246483432.6920196,246009029.41307148,246108438.91173223,247013410.10532075,247122268.40979087,248477716.3857249,245724044.41133976,245952697.8826725,244855780.33629832,246498059.36313984,245982181.99879473,245523395.78111225,247519789.8692145,247122747.46425733,247581614.37430105,252821868.5511924,249568450.94035354,250596968.64791933,248414245.52213332,254476939.6431835,254381119.5544533,245084217.62176418
11,zipkin2.codec.SpanBytesDecoderBenchmark.decodeOne_thrift_buffer,188872933.99776176,188892750.5051536,189707417.41338754,189402767.68047178,189725229.80481088,190074333.71541107,186130332.9228675,189153775.6043181,189169098.66515088,189786571.60753837,189949117.71983942,188620043.0595075,189981812.2682331,189860393.26592982,189536062.17823762,189201674.64315397,188409899.62107185,187075874.11945885,188922644.10457852,188824324.5607852,187949746.6593522,190592065.06041443,189848336.33764318,189276754.5819176,189174997.97588763,188843225.24652392,189718987.98075616,189511281.60623762,189409658.2224342,188798431.07662085
12,zipkin2.internal.DependenciesBenchmark.measureFromThrift,1816483.3430521365,1862984.0230387296,2347752.8214229066,2628174.8761842363,2763001.1491365675,2651087.626390123,2820890.127289871,2632338.3668599436,2373585.141512434,2845021.2886250173,2643914.0319683487,2658834.2339121504,2663302.3314562836,2880338.6900408585,2898747.3081088495,2902263.7983307173,2841273.2144070426,2722136.928531667,2844778.803006199,2876517.0050106323,2676976.5154437255,2834790.345173262,2383367.0593501083,2858620.2027202663,2888002.4114482016,2615595.1073211245,2887551.6368787317,2891674.3509568903,2694125.4792529056,2865660.0009451257
13,zipkin2.internal.ReadBufferBenchmark.readIntArray,204259479.6703516,181325148.05499253,200893639.33368257,200771062.9114912,200644284.7616038,200259083.12109372,199376589.8624588,201364161.8282196,198507186.69713515,201248198.94692078,200338769.3256873,196498302.431574,199050092.12559468,198117647.52082163,198276910.1762405,198685210.34847,197363890.0790022,195786260.5670768,194827273.34885222,206688650.0176289,204517527.08732185,206144317.2639294,207208844.25829545,204554109.49919102,190041326.17302814,199830635.7789045,200953750.28935724,201293871.8245563,199272393.99348283,198849059.59550452
14,zipkin2.codec.DependencyLinkBytesDecoderBenchmark.decodeSingleLink,62071.467651499304,141306.2374528155,221460.45365118742,258363.61933858402,321293.06858150597,270601.36859342264,329836.6488932864,342770.75275954016,318991.5191545255,267538.56696877157,316249.89671681024,391559.5521826887,362282.8081889305,266273.63215225365,322235.20222483133,337050.4038314479,304766.84954766236,250038.87489786005,270879.5112127666,259626.79567505518,358279.702092669,262082.88996691728,299193.5548073718,296322.77771060064,364452.4498378364,279550.4334074194,390881.0375020467,382639.12484002725,372081.89998248103,273636.7885998245
15,zipkin2.internal.ReadBufferBenchmark.readIntHeapBE,103399175.60173716,112766848.79832807,107860498.88757406,111866268.80493078,110869197.66031234,110219311.68389183,110450518.63442235,110219811.74198568,102698210.71714136,112177415.87147252,111559415.22089201,110213925.72780596,112188440.66865571,112667065.50261874,103452468.17071243,111987348.11637811,112305715.32429668,112229044.51589736,112280655.47894868,108910101.12505747,112366964.5244861,113009633.39005917,112243646.32741544,113272819.3468949,112294455.31248288,111464935.63588054,112273628.6867779,112326352.2586643,112064848.04652083,111730262.334025
16,zipkin2.codec.DependencyLinkBytesDecoderBenchmark.decodeOneLink,126263.07010032634,63012.89940966474,199999.2727880839,318308.3659572664,316579.05962329195,241060.10382403448,334955.630639388,396897.0730829328,353793.9348454129,267428.0590401259,299718.52748585964,303610.2433710165,385257.41869893967,278298.4826062485,354492.2415461906,383447.8262816886,382775.3920032397,267681.4033825016,333274.2591217514,342090.96918102977,357810.2110585849,275651.0203109782,365052.14329515863,392890.92047255114,367765.1539571063,263838.7039445861,393871.7075473503,332341.0038814117,389814.08814926655,253989.74737205243
17,zipkin2.internal.V1JsonSpanReaderBenchmark.readMediumSpan,146643139.51699293,146820326.60218135,147421659.24581507,147365700.26796728,146882230.07496253,147707733.1899914,147675590.90988904,148106756.26101488,146413994.6876982,147526421.07069656,147501855.74742773,147387385.32573286,147578015.14729196,147568856.95330298,147888970.70544282,147829993.5057919,147505410.9783353,147137305.20353618,148223922.1831029,147630227.7387959,147467239.13925406,144660092.29262975,144293609.72092006,144894443.68526024,144955634.09134,148085572.8967741,148172901.14137247,147760990.95814192,141183800.1530085,146012175.5956909
