,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_619b4edb_spansRoundTrip_JSON_V1,4039.382435567112,7274.795671438393,8359.4230136966,7418.911606058541,7948.064964103839,8767.352478735234,8836.874132513107,7778.674090881412,7685.986068278161,8205.977863783863,7930.934015481769,8029.640834175478,8719.731356382672,8731.933502128855,7462.3316763564435,7942.529216966281,8782.625362537103,8967.96214766229,8977.06225847196,8245.35229655222,7824.834320605086,8079.581549827331,8857.668126130679,8992.318581401558,8951.28060095343,8269.01261246843,8608.52283729391,4742.340948502213,8555.473105878275,7237.184793740029
1,zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_bf14d415_niceErrorOnNull_annotationTimestamp,47759.90539938507,70480.07692957984,80593.07500643507,79594.10710404394,67731.96393416019,80797.04775536974,61608.2293161499,78929.85279811891,67942.17088536658,82875.16811337818,81537.9983525619,83450.25301534659,84339.01369046804,84462.75915503052,85323.97527907345,84326.21878022705,85701.48734900301,83912.68627644175,85904.60848104364,89567.66994291043,86075.33264046184,85027.12907863245,85908.56388618503,92559.96698969106,93731.85644227544,94173.56099542181,92257.91127975134,94020.63418900955,92938.19547740632,86228.19225876594
2,zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_3e5c0118_writesAddressBinaryAnnotation_producer,14698.314781724397,15521.393555927598,15883.07258524339,15799.645580669394,14609.831948931233,15426.356977211057,14029.419408876045,14416.999212417815,15666.061097654225,15798.020926542584,14776.63925260536,13952.23864433185,15539.491480718225,12700.726589356742,15584.070601270454,15517.56107467819,14372.648387490863,15212.597777995257,15753.510515972093,15770.741766992913,15854.475756147593,13674.768900103903,14520.023242557356,15616.545093949047,14758.591652949039,14305.527920305778,15212.004759611293,15806.692492433443,15863.4726822586,15908.29391304488
3,zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_83d6197a_decoderForListMessage_proto3,165342.8182428736,373139.3600271058,495433.611004957,473788.3784526958,517190.5771653557,490216.0480018867,516735.81416531844,526669.8917988632,558148.9835069579,561876.583423652,537669.8333545335,537161.8989506903,541357.525729786,539069.98619129,576123.6544145162,581918.7499171848,577518.0473565218,581730.8062889811,532533.8267401333,536035.6284018765,533694.845432862,533776.1923182944,590725.8355389304,586950.8796583568,582332.6186877171,583553.8579467958,581519.5966016703,529701.5450907948,573149.7126762803,583046.1480076659
4,zipkin2.v1.SpanConverterTest._Benchmark.benchmark_601adb01_clientAndServer,114801.01735987159,171378.38842777666,202305.66345076103,206550.03062491983,209961.14533281708,194183.38693852068,208141.95353953817,224051.59236676665,232331.4762727023,224328.86758276034,215858.57729179828,231689.26556851654,193655.1977813,235253.07042926177,216306.60699865437,213645.00432270873,237648.9291937241,239539.7880818518,240188.97078746723,240340.70860093503,223727.51154698266,233716.7084820208,237733.53872666357,193199.62570161765,237153.79945218732,216609.10388836515,215196.16920825475,239854.181277899,216327.22651400944,234997.02748667158
5,zipkin2.v1.SpanConverterTest._Benchmark.benchmark_b9a456af_client_missingCs,390540.8582838205,550352.9751389863,636828.0351638768,665061.99598338,635518.7622571524,678906.475857817,585783.0019213792,688772.7918706131,696820.4279708804,703159.9098957335,637994.9364521478,707514.7705891896,710804.5831645039,715324.8613357175,727599.7470831076,659833.6314658636,704181.6511525726,709540.133239544,714761.5100622998,716652.4709441692,638002.880907541,740973.6021161181,714005.5039453269,714935.9438933304,712255.1457961346,640308.35887814,619415.7244242978,721759.1176928593,756962.7380491834,743674.2795557481
6,zipkin2.storage.ForwardingStorageComponentTest._Benchmark.benchmark_7a83ea23_delegatesCheck,11952.006834516587,6604.393190763047,6715.98183804161,9373.590851523055,13550.235297476596,13408.989250530673,14389.84692502022,10971.187271120929,13900.203063089933,15065.12921089594,14607.924140665124,13927.64573779508,14605.581110002613,14970.008206979306,15217.061222299712,14949.777202254269,14666.42311685103,13642.150899094739,15125.706965670946,15180.47228594783,14781.797166861788,14799.818592453255,14597.93215482367,13091.321089245286,14465.868034267218,14820.23409053355,14972.523694651016,14105.498032825852,12443.954431126156,14714.703146789623
7,zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_bf81b23c_niceErrorOnUppercase_traceId_JSON_V2,46782.99735419881,74400.25359372103,89635.98651505809,87321.0719315008,66122.12779878534,75887.02319147457,78925.52977806551,83246.29059580817,72410.35943745566,90026.7741377795,85481.33416583753,86428.99258952604,85109.67730904209,96344.6200640592,97249.16647783284,87407.58646101144,91542.99763736503,96301.18763073748,98163.41731878676,94047.01438233207,93768.94500541282,100870.60921529967,102241.25093764465,98711.98470849331,101741.03079882248,93253.9122212725,102290.58714291813,93565.47804679177,103157.4030366581,92900.68748687701
8,zipkin2.storage.QueryRequestTest._Benchmark.benchmark_799c732e_spanName_coercesAllToNull,373877.7747940189,518764.18297230767,605905.4978737168,575064.1226624597,530572.9639632801,580003.4359182493,636061.7415078038,588890.3452196225,640010.1085381571,573273.9401189886,607879.2395394101,676264.6647237961,662139.6807966314,550184.437610171,631617.1684894252,555838.480395895,597628.0798350225,698308.8624548401,675688.4866888225,610467.6607555822,643663.9837972078,659325.495878399,659361.1997341821,657056.0238918645,594671.9708363569,700710.6066624073,683156.8270255186,658676.9169602627,659546.6466917663,658372.9989019418
9,zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_9423c302_replayOverwrites,214469.11382574093,332115.8367885749,382894.75846739986,413965.0325456274,432048.9546918148,388569.9919221144,444527.6469932604,453391.28638445906,378171.0794165912,461023.2344139685,464345.81350551423,467597.78810694354,473624.51725984964,491421.0749270183,434052.6771503651,467880.0504337815,424988.4838843902,471774.22504079225,466313.96036309534,377967.02321049693,344400.75427985203,268919.3786286792,326501.92817591963,269868.8631445175,323491.24877131125,357299.90652596054,341772.1582295064,358871.3742020412,361749.9606545056,360774.82344869606
