,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,org.eclipse.collections.impl.multimap.bag.AbstractMutableBagMultimapBenchmark.benchmarkPutOccurrences,76504483.80412804,76418281.4970228,73696937.86331406,73818007.31044596,75097121.49814358,74472696.977106,73762512.69416146,73831811.35316709,73793728.60485157,73845618.13616301,73757187.56349824,73759275.37080036,73900906.24190329,76263155.12091026,75643759.52312316,73788628.67634732,73844504.88564892,73725615.60063344,73761458.80373195,73778721.47748187,73675412.21112727,73699591.05732992,73732925.8060783,73750426.22087514,73531763.47313458,73758402.37827188,73774556.31990393,73827380.23533976,73901374.35229567,73990894.05657527
1,org.eclipse.collections.impl.multimap.set.MultiReaderUnifiedSetMultimapBenchmark.selectKeysValues,46170.042722968836,46442.205538199894,47476.6734530941,47769.607687494376,44986.29329324415,45665.90803680702,46310.553462117874,47974.56641576499,46414.94291625464,46839.00407293694,43662.90145076662,47865.182791946754,46235.5021137247,45727.03493815612,46597.240179862754,46622.312603534425,44247.35499840935,46332.281971400495,46273.40318288678,47698.84437996863,45517.000955106494,47260.1796565337,43197.958284204724,46539.77046734104,45758.8169383615,47290.79657394396,45836.40874323407,45664.41887138875,46214.38224638022,43486.94728502772
2,org.eclipse.collections.impl.multimap.set.MultiReaderUnifiedSetMultimapBenchmark.selectKeysValues,3271.888814208474,3458.167339352197,3515.1177846477767,3365.989215476616,3449.2226991867597,3461.5899401818533,3270.29982317862,3451.5702684397515,3509.4481217356165,3480.057335989057,3477.127512210381,3567.0581642373627,3217.308777132355,3504.8704503452577,3517.423089851918,3497.5378038767553,3373.162022224629,3488.2468318340675,3053.587072907527,3465.814431743367,3448.5778733237676,3294.42694970626,3419.1565262758563,3400.2233063315994,2975.1933202888345,3564.0208841928243,3494.314117192995,3492.8565841071663,3475.246106503524,3530.447889636258
3,org.eclipse.collections.impl.multimap.set.MultiReaderUnifiedSetMultimapBenchmark.selectKeysValues,221.31739606692827,213.33608615307082,225.76039710414742,236.53833571787993,236.25806279192312,235.19215914944758,235.4969462597076,221.10255093661968,221.5822903496515,236.48097250746451,237.4550349957639,229.64828561289386,235.851721459722,233.4564172765363,221.18082760908052,235.28458498536386,233.46551642037954,234.9917621287868,230.85106073455384,230.82062190845505,204.99595010000982,231.04787450588486,229.6877253484544,231.26922924516194,235.86347844486045,234.09724004474242,224.5714366395336,243.45137429413282,233.9668314581715,233.84269215024898
4,org.eclipse.collections.impl.lazy.RejectIterableBenchmark.eachProcedure,1633737.3959926667,1645120.8168113886,1653369.4949894205,1635438.0210670354,1645994.1763416608,1630152.437347031,1616618.5867621237,1634040.4078833575,1625558.3103437617,1630223.9350182621,1623792.1879586098,1648084.812815758,1664995.769440498,1654094.3125523746,1642670.542477863,1654875.9838913325,1636940.1668364264,1649114.3729402195,1623974.190438008,1633941.3750755729,1625503.8184579953,1629147.8973240661,1628373.624948677,1636517.3354114452,1633295.5857246993,1648447.4308320188,1638576.2977750427,1677036.3405558104,1655466.6964377528,1669817.869540201
5,org.eclipse.collections.impl.lazy.RejectIterableBenchmark.eachProcedure,167695.96451246846,168141.0872537126,167320.16564051426,167410.68292472852,165368.73336711837,165679.77743518908,167390.8652921779,167353.97202996173,167264.43832838297,167856.59365220493,167604.9742659652,168509.71848470587,165662.4543451039,165869.4690248009,168075.34087823506,166013.24280144222,166419.45053356775,167611.10696109035,164115.57475493578,166021.04781105625,165950.00781084714,165879.22293009388,167504.1567851787,165328.1049895717,167546.05010466868,166599.8591493006,163947.76244218415,166159.939846442,167058.90183431996,167255.16277620086
6,org.eclipse.collections.impl.lazy.RejectIterableBenchmark.eachProcedure,13259.01144788348,13292.674302894231,14520.13085400734,13196.411888707768,13095.867233676021,13015.658208815437,12988.986868134276,12954.642102102645,12916.328010149819,12904.080069816833,12894.147295438053,12971.926916163755,12859.983474921235,12826.978001732727,12899.211921152653,12850.05494270924,12877.3966682113,12970.854193653095,12887.271818337193,12934.140684648228,12773.274523216052,12803.946299239304,12823.207623331242,12814.928633521451,13003.918802175112,12866.726644397637,12837.57808417624,12858.372888636299,12849.720758899568,12852.039181550786
7,org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanArrayListBenchmark.benchmarkNewWithout,391802.76899155386,395066.4627782162,394576.8650131837,394982.24764144595,393980.508434102,395455.4554480085,395577.45703129255,395404.6359354672,393521.9176392062,393250.860784606,394422.2929931446,394744.1650099485,394263.9142707638,393431.6494185957,393437.6222496181,395323.5033455739,394733.51597114914,394484.3137966881,395462.76664889185,393475.20155187603,394940.11525316257,396042.5427813926,394543.1191390336,393694.0690500436,394317.41617036297,394464.535968803,396285.9435169557,394188.890529919,396457.4260906455,395362.63487067784
8,org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanArrayListBenchmark.benchmarkNewWithout,24104.1120527202,23743.84002287312,25566.64766388174,24555.93751369566,25712.172170904785,25743.819819005086,23306.493235212343,27570.7572102492,28233.104570524658,30490.405412777724,25990.12236554796,30393.891230847898,28947.58669197494,27807.57697505588,28343.679559641812,23940.760653070793,27745.134656995182,29372.072250582205,29056.44404989915,24940.83057173438,32666.719999978242,27299.370582468044,25039.832226604645,24701.240066349357,25563.82549560143,25903.099385985653,26492.494855397286,30575.38971652519,23072.45806762734,28085.856624776807
9,org.eclipse.collections.impl.list.immutable.primitive.ImmutableBooleanArrayListBenchmark.benchmarkNewWithout,1578.909754255176,1614.2630985810763,1604.2304698943574,1608.4408496652266,1609.1193096923737,1618.3918876298312,1624.8792379207648,1626.3017034534762,1625.69677503752,1618.6950410916484,1619.707765846055,1624.4292096887289,1615.219876258505,1631.8584232269177,1626.0884197101757,1629.104515459047,1623.2917107511396,1623.6662034545614,1620.2632468584945,1610.4654478666823,1613.725879612282,1620.02809168687,1621.7293755321875,1623.6044704677404,1615.2901671971858,1616.0177310944557,1619.0740564043645,1621.070552714319,1620.5986911461114,1618.369107933916
