,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,io.reactivex.rxjava3.core.CallableAsyncPerf.observeOnMaybe,231994.5497520427,217149.4800868604,424461.80204916076,214742.16513210515,238629.97929364076,266431.89770173485,220810.69349170142,217112.846956598,216138.74340389651,223577.9456045096,275607.7755027444,246670.99500758745,285051.9362239817,288619.9948513142,242240.06836643926,221793.62372256097,286378.60933939967,218233.0805397403,217287.86347991638,317294.8868369168,224596.27608063692,236989.60421402156,303054.43968534376,271474.3246064204,238052.88465682516,235619.69375897528,233277.7975480007,277603.6776564031,293892.2154464711,268307.87005293445
1,io.reactivex.rxjava3.core.BinaryFlatMapPerf.completableFlatMapObservable,28001582.62601626,28758836.799724337,29070343.753658786,29144513.452431627,28888335.250224736,29576332.66040347,28579445.103900343,28841865.51205716,28696173.67079928,28581388.826750446,28396956.051610418,28858204.84668005,28105926.875359092,27851652.37304543,27877812.254540436,27761138.434452966,27749553.186295282,27875314.50065164,27854108.53651168,28455879.4047288,28517544.94113166,28466296.645053737,28819917.70601646,28623156.09935761,28768745.68323258,29598148.67899262,29584910.255659133,29176937.82215158,28626477.185371555,29493654.610975493
2,io.reactivex.rxjava3.core.BinaryFlatMapPerf.completableFlatMapObservable,439368.1761196978,446167.3799578307,437819.6527893693,441413.70644625986,436641.6667426126,447429.1636670964,439308.86639415595,448840.70346213464,445653.21542957606,440525.9401863246,443351.27385610575,434570.37355178973,437805.14405075164,445012.9565605499,443012.205007097,443159.79281962203,443257.9917276581,446042.1886433231,450373.1218815195,449402.2588670527,444591.3600741709,459402.2717383391,459996.99997651554,452346.16328033333,450591.2545026302,448127.41259325325,445412.2859046204,425830.6960023764,443857.46059373947,440088.76644567214
3,io.reactivex.rxjava3.core.BinaryFlatMapPerf.completableFlatMapObservable,406.29239304242947,407.21477914339164,411.0703553478331,406.0571612592144,408.64114605661433,412.9627395999217,413.01499492240566,386.95617373071946,400.005704220995,409.08019300395523,404.3431324510393,408.4271576310744,406.7532114375309,408.51786680507877,407.8907717460157,404.8949532435406,407.75484555420746,407.0046546508744,407.7968352089021,409.0194809125188,406.99084950203485,407.01784924204713,408.9633949134115,406.7419059909725,408.74130517550657,408.49177455020157,407.34659162623603,407.3668891198069,406.9096835473689,406.79878023774563
4,io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated,94735711.43043762,96839678.78166196,97550616.03298037,97761940.34686354,97608037.94110797,97994017.76350704,97552134.98347722,97488996.14930594,97682603.18048562,97329383.42098653,96933756.8798464,97729867.1188366,97766779.74150126,97760836.19053163,97207508.84078997,98022684.87401538,97086552.99638951,97845864.72924712,98062312.52140225,97592780.91584007,97666167.99706572,97944979.303401,97691415.45219468,97922425.33241144,97727072.80667163,97780574.3924352,97826303.18771519,97890607.37032339,97557844.60746212,97268438.61714388
5,io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated,3586415.3684066213,3702877.1277333708,3599533.42523612,3574396.1109588607,3563667.685197271,3585846.3934326693,3583755.7115894165,3583459.1802058127,3556203.9696362745,3583524.332942879,3579414.8378103594,3574132.5085989423,3598066.160597783,3705700.2874659,3619751.7508983184,3575109.193941586,3573536.022596848,3579957.472209811,3577755.3373204162,3548678.7649237774,3578130.1134283347,3569856.0426624897,3571301.2595999255,3550792.956789253,3566876.5957486294,3634932.6273315935,3657007.2948037805,3594967.705774194,3542997.6797229894,3565791.901555696
6,io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated,391214.4332983016,392259.6047282151,393786.8656328837,394670.34204681293,395069.08416672726,392704.46483056823,398131.5439265055,395920.71532837005,392899.35985518224,394134.2190970293,392832.7074786396,392841.9772054675,392299.87574574054,393800.52344132407,393497.7869684461,393141.9866938121,393719.74433143414,396031.5977412577,399016.7930226011,403851.5167170237,394118.2215607074,394096.44944654714,393135.47938756604,393247.5196691756,395920.21518753615,394979.37874102074,394647.90678308666,395646.43411144504,394513.661412792,395091.26793280477
7,io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated,39729.114734318515,39881.95720626994,39903.07630159938,40287.549895089636,40209.168671388004,39737.38304614647,39889.53203465301,39905.88598409312,39807.339276762854,39840.077875602816,39855.17662566937,39840.82166323474,39817.11903929658,39819.136583865286,39976.17452796635,39895.48251960395,40627.262657480875,40740.950526483764,39913.07806555191,39737.6075942299,39548.03128403002,39850.38390753102,39994.26732835653,40129.39078701103,40720.929071854975,41249.7140401648,40624.85872584381,40143.35914019514,40042.379484902245,40226.213915875924
8,io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated,3968.2540753766893,3962.756896752655,3892.149145059697,3857.5592969956742,3936.720351133137,3953.956084422503,3889.872147130428,3887.119322584917,3946.967982334691,3954.7300580356987,3943.574299041567,3939.250073145825,3957.5437545682544,3939.4473270555927,3965.38316085703,3960.510195783067,3948.9128366536793,4024.984037679113,3997.450290623285,3960.0459734444,3947.2473073054643,3969.524208858802,3965.763466003834,3953.1179368416347,3975.667689840477,3933.8745932224965,3941.6212023192147,3968.511162763482,3944.0168512553864,3951.5183968408296
9,io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated,397.74544410900654,400.4378017443009,405.8046862045298,402.708451967446,398.84481147807793,399.4572861462377,400.3916601264869,398.9282515571727,398.22510054667293,396.8294744382444,400.1066111504143,398.2136789071427,388.9525773459597,390.3579244522598,391.9461524309743,398.31953599883036,392.1194006009363,391.8020800038798,392.10670994343434,390.5378394734563,392.0378368265522,391.23902600980597,395.43938163426327,400.5222090463844,394.44416506036356,391.8638183102694,394.39748605970135,392.35803594468643,401.03962599619103,391.47423209847705
