,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,io.reactivex.rxjava3.internal.operators.observable.ObservableAllBenchmark.allSometimesFalse,16471075.374365004,23467248.20585372,27575500.517266057,27304923.557279892,15707790.46550349,19814947.666839365,20459416.183202974,18477754.805528406,26379358.47896321,23199919.231769796,24243258.548460778,24682385.20683139,22807567.871653717,27297377.930132534,25388192.124507625,27538002.316696703,29058924.128985442,29861269.563188054,27654901.26324817,28933528.480415247,30155165.020488158,30510356.959652852,31891836.142492507,31295218.296963733,32178886.508726772,32481967.695627622,31158832.458522152,31165706.333500747,31300695.228226308,31181840.511781447
1,io.reactivex.rxjava3.internal.operators.observable.ObservableAllBenchmark.allSometimesFalse,15132855.07904104,13173961.064063644,22596307.166269682,23674405.52456241,25369605.99362354,26977185.116610542,28588604.212222293,29458546.81722195,27726575.858483296,30153594.65132711,28002449.189513672,31683738.560452756,32102969.404059682,31325998.673841175,27137361.894865543,30760096.388900492,30890441.938467685,30922811.743340608,30820068.055016126,28533342.550769053,32691080.86991068,33642407.47970959,27096409.819413513,24850385.08843924,24191640.87404457,26303908.77219515,26806687.95793422,25925575.128550537,29103111.97313379,27951132.876569256
2,io.reactivex.rxjava3.internal.operators.observable.ObservableAllBenchmark.allSometimesFalse,21339859.391339097,25412286.610690523,28823330.19846535,31076779.596496385,32360469.26941518,31914047.661559835,30859351.050011624,33921013.47193481,28092435.563760642,32512386.01173315,32636139.236571696,31170507.06761755,28166126.407538053,32767715.01247463,30823387.703948993,31340157.956906676,34090078.8252028,33413374.180417906,32686517.615007773,29066084.772143885,32201405.23534448,28584409.531904627,34091294.29327539,31339647.759103328,31208311.01325615,33981724.621710144,31176031.201820053,33757669.089697994,31387795.452841837,31130283.50676808
3,io.reactivex.rxjava3.internal.util.BackpressureHelperBenchmark.addCancel,75042730.19674672,74625953.29451011,75040077.50961421,74471274.18651326,74581496.03127319,74976457.84461714,75331173.40083787,74877696.97418743,74796634.79055753,74892098.9521735,73661607.92536902,74325782.79832685,74977205.86225903,74940686.97412087,74911450.05805902,73632035.2034838,73527175.49929914,74874610.01889437,75111025.8110552,74920139.54637156,75022297.26045157,73794925.27185911,74972015.89730832,75046887.40662031,74986598.0037436,74727555.21775304,74974495.83113348,75115553.69305371,75217353.74740607,74444781.46559966
4,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapBiSelectorBenchmark.baseline,182735093.89360872,182898183.3469851,183993666.32042214,182852015.3052413,182852418.54732275,183571031.81374013,183771754.85275838,183639460.3584778,182941865.49154317,183653889.35738316,183173836.44713107,183485606.3240553,184146520.4835545,182953452.78630844,177444894.82994553,183222798.9522715,183049032.24565986,182730413.2516103,182699482.5883965,172804273.4387473,183778805.99361905,177848585.41614956,183351089.32506755,184093931.3645519,183960003.73390695,183646917.62749267,183397591.47323102,176333164.21066087,181224640.7510457,182895189.25413787
5,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapBiSelectorBenchmark.baseline,183245460.8830129,183579437.66222814,176741889.5403866,174997741.08348203,183103127.79313585,183919972.62753645,170555912.11858156,183636563.74316493,183869362.96566623,183695901.8589561,183070356.54275045,179141101.031933,183334925.7812461,183728401.9940032,182976486.9058244,184066087.09528103,183373321.44662353,182870576.0392166,183702515.35494894,183406076.74293488,183912938.62026498,183635341.82090956,183829789.446557,183923447.46954212,182937050.54245377,183677731.62783164,183400224.54358247,183912068.1041777,183498774.75307664,184046177.36975783
6,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapBiSelectorBenchmark.baseline,183117594.7804439,182368147.72171813,177513034.64349633,183239629.5181236,183761264.31327394,182883216.40181556,183274090.45174652,182944323.72049966,182687240.40425944,180446520.62943643,183090319.8625788,173776887.96426153,183085962.64042002,183356237.6720845,170701975.37942967,175731587.59199932,183556989.9779514,181254665.50430408,183387306.75862762,183773948.45401853,183761576.90199405,183082604.80906892,183170916.56169683,182737889.41361785,182511756.5067567,183485393.09445652,183907813.69306165,183182309.11516434,180119351.4260763,182914091.55570808
7,io.reactivex.rxjava3.internal.operators.flowable.FlowableSkipBenchmark.skip,87209.04972527907,110117.37813970375,121352.16240205598,121655.67929747744,118405.6899644211,115776.16961466755,119266.41530559544,122996.93550672368,124431.39099769709,113346.71319700891,123324.12162073595,111084.82980437535,123854.09268808534,124098.24610059141,125784.51515985106,130418.89553982379,127511.44977756405,122031.06800517353,130515.6513807045,109039.71573816022,120875.53247591072,132784.48838192414,123859.60935689394,124068.26577248985,134269.59123267143,134944.17189523592,112733.12420101133,106086.15063679419,104021.79149005708,107960.70434717667
8,io.reactivex.rxjava3.internal.operators.flowable.FlowableSkipBenchmark.skip,100158.08249203664,50448.66187112909,75643.32859820174,113588.18925489979,77264.07108501432,87807.42074884502,118822.98038140204,127106.78773399175,108326.90924183074,106694.98892733673,131709.53903611976,118788.83861124159,105714.75463552447,117403.62154881009,117573.22634247052,118277.6763466235,124805.91140173133,118739.28749318012,118410.84287393573,119390.76033535686,129180.760510246,123025.37344840688,118577.66341076817,115839.40101475663,137123.84301288857,117507.13626636073,125229.54571634629,118508.05115566337,128843.29293893106,138723.58885410833
9,io.reactivex.rxjava3.internal.operators.flowable.FlowableSkipBenchmark.skip,120993.74822946585,47006.167579704954,154687.96434460906,182144.65261170059,128142.9775268947,190218.828153242,252024.72803426586,209279.38887595077,199944.0383031666,178505.31879080794,158252.11097290818,165853.1681576814,161076.10253942138,190544.70992189753,174063.35663498897,176781.3747842102,184726.36426384197,172576.73395329132,189675.0057078659,194689.54029042646,200881.5633273869,236160.16267193278,184241.27137930845,176055.4269184773,211185.72917566204,225872.53874282102,196093.57518333147,153431.12071251209,181097.30692324732,146864.36515588887
