,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,io.reactivex.rxjava3.internal.jdk8.ParallelMapOptionalTest._Benchmark.benchmark_b9db97e6_allNoneConditional,58627.64420054648,58600.976533944835,58555.58035410732,58651.82658427083,58523.10957487149,58625.78631027183,58405.95339698702,58660.522292150265,58532.792812683416,60282.3519771247,58116.211066790944,58329.76269817025,58129.61624094488,58107.4744748369,58164.680276221225,57704.99798527473,57432.89820329037,58171.45825630295,58230.129545764044,58344.469075275985,58223.815337944034,59523.35465704131,59660.59197918654,58002.43238638878,58113.045707095385,58126.459858473376,58101.38260791883,58116.257280835955,58073.584049873694,57995.3578335327
1,io.reactivex.rxjava3.internal.operators.flowable.FlowableFlatMapTest._Benchmark.benchmark_64108d6f_someConcurrencyInnerScalarCancel,3491174.2691927124,3546394.82486479,3525773.6981372694,3556314.534077089,3558809.058269361,3520409.723106871,3588582.639384273,3530247.7804411384,3507791.400329881,3597616.5904711587,3561698.5355944955,3509702.1015048274,3548442.0814139694,3545613.57109889,3488009.774696639,3551540.5088512944,3537841.6571370917,3553058.1004201113,3595473.029102899,3621525.8130437196,3620860.6581024,3635467.506376795,3695546.5432880563,3657765.363822116,3665897.390014211,3676401.6035490697,3664488.154096531,3617338.73813997,3654284.277995144,3657992.7751854095
2,io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapSchedulerTest._Benchmark.benchmark_03e8fbac_concatMapInnerErrorDelayError,782968.155810663,778719.9213619266,781199.0818330897,778783.4422852335,775392.9002603706,781323.4228678141,782449.8473505819,787490.4926213048,781683.3586677699,789919.4915770909,781969.9991346864,790929.5376267141,788971.861932836,784619.2633579634,778115.8626219915,778099.0542733655,778963.3433106695,777753.4225817482,781049.3534422972,778398.4535840722,776601.2333149897,780565.7050588236,782208.2517131241,780406.8917862069,774878.2128672865,781213.7558197615,778359.4937458,785309.7931262603,780428.9286582704,781208.2236812409
3,io.reactivex.rxjava3.internal.jdk8.ParallelMapOptionalTest._Benchmark.benchmark_587e2c22_mapCrash,463192.79194927745,453261.22120639053,455600.0476977293,456489.5898750454,459423.5513513953,457136.07079081953,458374.9271757673,461122.97415463487,480406.8990966977,470578.2543879799,475579.2934666334,479713.38815485116,491425.9476721966,488562.2365394381,481288.1172442581,454591.99558917247,457142.47663179477,457219.38483117137,461330.1863728616,477435.52197261626,460248.0402032798,470604.3257184919,477419.013036528,478627.8634218688,478501.51213569666,485638.1977697667,482766.78133165184,486530.4283404591,487861.5184816182,491283.8126732548
4,io.reactivex.rxjava3.observable.ObservableNullTests._Benchmark.benchmark_55bd4734_flatMapIterableMapperIteratorNull,72275.18762789902,72270.66947846775,67651.23416748576,66470.33797566926,67237.02402207976,68299.17276417471,68820.83386200132,67734.86862476032,65901.39275546474,65634.42916504403,65780.33610105951,65419.57404954444,65658.34749178738,65795.80258717747,65621.34770893282,65461.898877497224,65343.25445931114,65441.94403919234,65583.7613215058,65232.81709515548,65435.834018042704,65241.521039959545,64974.5025524766,65272.17795738601,65284.33326555477,65240.724067522395,65072.275067758295,65137.6431966955,65597.670233144,65895.10467678214
5,io.reactivex.rxjava3.internal.operators.flowable.FlowableFirstTest._Benchmark.benchmark_970de657_firstOrErrorErrorFlowable,51867.08167178086,68176.80468951781,102182.49143774011,102677.90840731727,99855.86555461139,101156.06567940692,100579.75104453224,101740.97334938955,101854.06028494818,99416.01435160675,102541.43021848342,101821.7349173919,101445.73607951376,102017.49258566277,100612.34902066799,102444.16308144428,99801.2746092498,99071.73746861343,102700.26058837437,102042.91885429379,102036.08950380227,99825.42544876666,99868.89023383537,101481.04763490758,100786.09564815865,101380.69564144153,99596.53603443662,101387.9597214649,101794.81060748662,99867.39317273727
6,io.reactivex.rxjava3.internal.operators.observable.ObservableTimeoutWithSelectorTest._Benchmark.benchmark_d8f16e15_disposedUpfrontFallback,3416061.9802869633,3400950.598996838,3450101.5550062624,3468851.480734853,3438531.960406967,3432459.0950159533,3439846.0786162093,3503760.920988379,3527470.849469505,3545158.533535899,3538791.238732274,3422072.157676657,3382267.3357503978,3338532.4487390374,3450265.3673672075,3483238.614683258,3478624.9111201423,3456863.839302957,3486668.254088441,3492798.2775067566,3505311.3608712545,3527699.9369131294,3493310.913317592,3523210.5550424685,3458180.496828244,3430554.5369750652,3428215.419794927,3447238.5232006367,3492911.4744184306,3447680.6249120664
7,io.reactivex.rxjava3.internal.operators.observable.ObservableCreateTest._Benchmark.benchmark_ab22db15_createNullValueSerialized,6389.635662974497,8966.845859335754,8908.604511646274,8887.593609412059,9205.002499904098,9096.315171407638,8894.958693870585,9184.600303652125,9141.324373856853,9423.648743006741,9095.92819949247,8945.561920411237,9335.555210804465,9193.262602073884,9107.097859993088,9422.279868587191,5889.948047466742,9705.88111573086,9403.021925868337,9248.540264312001,9269.6034927106,9248.284044090728,9307.68314898808,9376.489081925827,9373.654177601451,9461.047329300223,9384.81925834983,9351.03977912924,9467.97268709156,9627.385426223931
8,io.reactivex.rxjava3.internal.operators.flowable.FlowableFromCompletableTest._Benchmark.benchmark_ff025258_syncFusedRejected,83037.7922463227,97212.5177878858,100717.04762248551,101105.01821035375,102255.0657499023,102134.6715320515,103956.48452733224,105769.52757840356,104910.42455398763,103277.98890848858,103513.3833886947,103236.70251184731,105350.11895163056,103328.44514073353,106059.77757890923,105880.63371513662,106455.86637875561,106452.83295759228,105888.96514532478,105874.25136316862,102807.16076938823,102875.86851488025,104422.25641329541,105103.2789606203,103115.78167220073,104833.51340570489,104112.07262633582,102868.56498340849,103918.66625188527,104650.24608241834
9,io.reactivex.rxjava3.schedulers.ComputationSchedulerTests._Benchmark.benchmark_c411da44_unwrapDefaultPeriodicTask,9.972743912468077,9.974185411768385,9.977928074754038,9.973150632926307,9.97134334638548,9.97487841832662,9.978382831433981,9.980766135445746,9.978705492372804,9.974391537703877,9.975916113391303,9.9805216147957,9.983244063264753,9.981979930909926,9.982764298231945,9.98235976278643,9.980736808672,9.981598394335329,9.9821467707861,9.983568782924275,9.980956514627309,9.981748572370392,9.981252971119572,9.979295277495702,9.982773775486889,9.983073728442646,9.982780562049593,9.98316037512975,9.983191968556403,9.981560783281342
10,io.reactivex.rxjava3.internal.operators.maybe.MaybeFlatMapSingleTest._Benchmark.benchmark_37b271ac_flatMapSingleError,886359.9277549613,884676.4927538108,894730.4083036687,887449.6110814284,882842.9710411004,882862.7749416666,883960.7538404829,882083.3912174403,880417.9230081537,883642.8599231626,893905.0057961356,882586.005093268,887468.9717764672,887354.4908950238,886826.650480133,882332.7391835385,887460.9635241865,878507.5691696141,881579.9721496762,880428.7074543865,879811.8624199262,884370.6297864099,886241.5279484534,887449.4344928543,876142.6479944465,879493.5370615986,884600.9906865136,879025.4436379205,879536.5045122817,886525.2801915299
