,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,373.2936004682092,536.5848556382826,612.5371075454392,627.5273921777114,600.3913034836153,593.7514004448935,572.9341488314312,637.1957372751729,632.4523816185898,612.5517818836972,603.8299512206271,619.8422476685994,611.8513164569968,652.7680550022123,661.507723249338,630.3287799011603,603.7483347516388,538.122053331867,597.2916210967536,655.6176293749606,660.8895812562482,663.852672719676,622.0436241010788,602.5470469731871,635.9366592152394,622.7262483317074,607.6521218622404,609.4154663577182,660.7318098646365,667.1494784830106
1,zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,378.81249027162175,460.0589409391597,485.2691371887837,458.98078726380203,418.8480950322035,491.49261840822385,489.5268946190559,415.05612625900403,455.44266661090023,505.3098925290077,492.38294841807993,505.38966314096984,484.4329968521334,473.21176784581684,490.48662950046764,461.10434078416534,461.5178730463328,507.40129691371965,505.65144434638313,510.6213461876278,510.929447174876,512.5892487939338,508.7851842999359,489.7819148267355,503.99937425832934,479.3791699390079,491.6391643851345,511.0781274951867,426.27179222445073,495.5367638090663
2,zipkin2.internal.ReadBufferBenchmarks.readLong,143423020.84818712,142729846.35887128,137477341.99912298,142941120.8916907,143267524.98044083,143150798.20264465,143358399.58599102,143674385.49811292,138279750.80599934,143383275.47754127,143940705.66816515,142720018.9629754,143704217.14985076,143333742.96388775,143425988.8960187,142106640.2300862,143612313.45610037,143503737.06861815,143655779.774817,143396233.29793814,143723869.52205604,143542579.64172578,143708279.81735975,142217394.85357475,143039874.98803058,144372927.34961382,144334047.41935578,145222035.01450217,144173588.59688476,144208867.06094024
3,zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes,115871607.02889587,143186954.15549856,139691176.097204,135567118.63802952,134637590.49381062,135061974.48287028,135436036.36617166,135297733.91318825,130095629.96983701,134654620.0237729,135621291.11762795,132192670.13772567,136357469.18666604,137679585.57243574,138309405.13990703,137355697.57473463,137786095.2840124,136466298.63262326,138199049.17952985,138109630.98370898,137881163.894932,137315418.8379848,138595124.44548053,137286009.09844187,138698246.8973771,138781430.84399858,138435052.3559335,138298296.2545307,139022521.8667941,134166844.70073502
4,zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,133096364.75112428,132998036.16386671,143800846.3629183,147455443.0464224,144429616.37432703,143182686.21792996,142637836.53694713,142536092.51641592,142780372.42683586,143305339.68760538,140414133.96552768,136046847.6881252,142533992.42454666,143739524.83113673,145091124.94254857,142001762.61288235,147939362.01447707,146244355.16809726,144676907.7671847,144529510.25933978,131795576.89131032,146614637.28611803,150716632.9663238,150741097.95058617,150294170.57763463,150323479.22432938,149003052.7405659,149208430.64602855,150624026.02021363,150784406.9870341
5,zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,142974876.1629773,137095188.06212732,141281390.3972681,142394867.85271546,141495291.3338721,140437331.56520173,142091850.00530076,140880285.41989928,140708033.26714084,142471091.57411224,142894622.59759802,140750746.9136756,140659055.13565388,138503685.0517777,139107672.5606442,140281187.17834213,139032549.43863437,139429212.47327816,139954973.57229877,138823236.23282638,139062246.57828516,140609385.87847674,135113812.25112846,139056456.04741785,136116317.38399258,140641034.8746915,138886701.30671933,137735762.6353788,139514368.4339008,138627444.84255397
6,zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,138439388.75571617,133518831.65887383,140973028.29047298,142077001.03383544,143304842.49300456,140940204.92377806,141786818.14830405,144662465.27757317,146770497.43444416,147356411.05854657,146380996.68110567,147578480.1717638,148053454.0170231,148185663.95373356,148881513.90629765,148392910.76599905,148691409.3803165,149787544.13492662,149961617.95237043,149036618.15765247,150720707.3104313,149665524.55732405,150603338.58994424,151149424.20028675,150687559.7729803,151790385.4542161,153976772.7191537,154807102.86682028,154640770.83001146,154268499.62904236
7,zipkin2.EndpointBenchmarks.parseIpv4_addr,14386717.197835628,27006416.395952538,28343466.14915242,10499201.92113029,9784405.572826557,12156415.958980307,10646179.77983724,11961172.14095245,13261474.814099567,13549981.658872997,21004659.404613543,25582256.55612955,32072917.516630363,34008006.33408679,13635103.742785675,10065633.371336794,17414831.018838182,14853916.169482842,11958828.732687125,8981676.342546146,14141989.874585822,15077729.435512695,15314099.717880026,14573192.261629682,19484920.00320723,27448482.710402682,17056160.333797492,28531017.846319623,30004986.206062324,23815028.711695097
8,zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,16320.600893369561,20152.810678691047,21553.39643591213,21606.548287325637,19855.6086589506,18508.8268179772,19838.14245010856,18947.721032286358,18723.430792398187,19909.291428777917,19706.596395473454,19872.196078018023,19923.326474166606,19698.689938350737,19499.308463066114,21466.863313316,21386.575408587534,19463.855210960537,19412.250635562334,20912.823848147804,21677.34975760931,20052.187091536223,19734.092703433344,19762.734061477404,21838.31743118942,21965.634110564184,22050.031570591556,22157.33208326952,21707.947216493518,19919.592232469982
9,zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,122841.11227146885,154642.1859158061,218861.7048338377,197726.8864256459,237523.5903331291,246837.0445316318,230537.45471136007,246951.21313720488,255794.1693088386,248755.98712897883,252150.21659478694,229529.70259999164,256141.77652938644,269738.58434721705,250848.3514829277,250954.03723262236,254121.45156498087,255151.7153307535,257531.0012141747,274606.3564439841,251254.90946624774,252641.45516153303,253987.04159482446,255492.5848886508,256124.75135977182,275400.0830202451,276711.6869232757,261045.0819276727,263356.87976214185,253607.2340761493
10,zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,247261.14723483744,357617.9320460404,397676.82925747824,377122.66771257384,242487.2144020364,311566.2835737048,405651.2046130127,379232.0911039729,377474.78706264764,379212.38038034266,412578.9718925561,416627.60753698956,418140.46427380055,412097.31328709866,417135.1976799156,351764.28229669045,413928.66451397166,385739.58918601373,422668.75253331277,423723.0560326383,422433.4913883579,424203.9960041019,424053.45161706593,424688.4279815323,426490.25283407606,424072.15883623064,424406.0426610737,423093.4391513825,381974.8696325712,421267.83968985174
