,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,zipkin2.codec.SpanBytesEncoderBenchmark.encodeListJsonV2,311409.0701740462,310886.01372060913,310979.41863095545,310453.84392622265,311004.41453293967,311811.508953896,310728.49675535265,311334.14650641853,310873.75335849565,310323.5361654934,311382.1210834628,311167.125566978,310635.0799823232,311025.09030215704,310856.87189258623,310876.5928660583,310512.05382094,310245.2846427276,311169.10102846136,310783.51104973425,310353.40430561244,310558.9776403056,310300.415896032,310701.76038935466,309951.6433059226,308431.5187667462,311200.19589548104,310377.2646000789,310454.0145913387,309402.4894218821
1,zipkin2.codec.SpanBytesEncoderBenchmark.encodeListJsonV2,30990.03039762805,31142.343188621937,31118.89303310941,30986.24218146729,31007.91921358117,31032.9799702348,30932.570741489388,31129.476865826433,31001.540943477037,30932.420435950437,31013.890218090135,31013.785686235242,31060.366430645547,31059.787890846626,30961.848863626503,30954.371712379227,31053.10827569695,31184.106906422032,30920.012043775176,30955.40520625415,30825.881143818006,30962.575599367992,31087.10545853204,30890.297369296037,30961.509487138363,30981.59830649928,31093.74172372609,30969.332982744203,31064.934263767376,31048.392183443728
2,zipkin2.codec.SpanBytesEncoderBenchmark.encodeListJsonV2,3137.0725276442745,3134.8301440868295,3140.2991354777473,3124.837907155546,3134.1037278205404,3132.284141517729,3144.1362460346254,3140.8840762505138,3135.4775353782798,3133.4950466737137,3132.202807402474,3137.709234760633,3139.0924632561328,3133.2557420973008,3126.1940046617183,3119.1912623278863,3131.4253333485253,3127.145835750694,3132.1197741156407,3143.4722173016594,3116.1790955923107,3139.1130310566227,3134.8911200432362,3134.6051776702416,3125.7661801866575,3119.8007851208663,3134.8273932688994,3141.361709855536,3138.5810182655478,3131.909440945478
3,zipkin2.internal.ThriftCodecBenchmark.benchmarkReadOne,1723719.489404562,1723555.7425275883,1723571.7465680349,1710034.0334760526,1721881.194559949,1733569.5559380269,1734127.833719592,1721597.819441745,1732019.6200352216,1717620.5547980042,1729308.9732540923,1727220.7761639128,1708638.5221217517,1707987.2787070144,1726744.7996370061,1716362.0478570026,1715185.0315616021,1716906.436909434,1719762.0225503736,1705620.0800630848,1725552.1272721838,1720840.9105223867,1721677.3127107988,1706422.7485737826,1714258.458378268,1715226.1871644575,1715079.003542062,1713783.3734362326,1712697.174041163,1720292.7685278275
4,zipkin2.EndpointBenchmark.parseInetAddressIpv4,12853812.522570807,12546388.541041445,12666275.674624389,12684432.497702366,12499004.4645388,12379504.069878101,12571764.561803244,12723211.255691681,12738495.14565364,12594216.990891704,12803841.3615081,12674916.345026309,12703687.599226678,13038702.64398746,12526639.015230682,12693792.253145313,12527066.489449527,12742564.764984287,12773285.954465194,12576220.136018056,12635267.442811511,12705495.636773597,12717366.742943078,12793290.413249953,12567929.39241585,12892351.05972874,12177276.141423065,12248711.381016789,12280118.839388788,12166629.626632102
5,zipkin2.codec.SpanBytesEncoderBenchmark.encodeProto3,4366373.673382456,4343034.73183705,4385883.799461316,4357394.717460187,4356368.849699352,4386486.577279677,4379223.052449465,4342163.329044527,4363093.551798253,4330178.02167273,4319675.638860238,4328537.118185806,4348494.183066149,4318593.167911147,4361362.684284007,4384009.697717434,4394973.0632247655,4395444.4029148165,4355730.482013002,4350641.64342979,4340873.20674857,4308111.755612549,4347784.055005942,4371218.989181253,4345388.257920968,4382980.999604463,4370014.291968816,4316623.274423595,4381372.792396814,4366773.246628108
6,zipkin2.codec.SpanBytesEncoderBenchmark.encodeProto3,4404935.798026821,4366549.512910325,4378900.7463256745,4384899.704511648,4387429.648359068,4408754.242177808,4396241.938432604,4371042.908799598,4388221.025859321,4398026.533016957,4408111.654532029,4382381.958558698,4394855.902453883,4379555.0804889975,4361806.737766877,4356503.394502954,4361866.025482236,4390525.68295881,4383996.489458888,4391154.876520513,4397047.970278965,4373813.5510494,4386939.535629579,4367977.168647584,4393349.78626354,4365445.460150043,4362231.079281436,4343814.843623982,4348229.185240185,4348767.026039764
7,zipkin2.codec.SpanBytesEncoderBenchmark.encodeProto3,4343208.916184467,4373648.053015351,4351791.047089569,4367750.608171806,4388133.445800389,4401963.528622321,4355113.95257033,4367147.360879485,4365354.199049058,4369505.132721253,4321696.976864797,4411223.841823767,4384846.78631515,4380411.9645418385,4390169.406156904,4394757.779694248,4369427.499279067,4385064.005929293,4405277.727189641,4365718.437534994,4340452.518876932,4391260.054401145,4358976.902442677,4375298.438229935,4383256.720538839,4377610.091361452,4322223.740172231,4349911.3752392875,4357502.366977529,4363823.811973395
8,zipkin2.internal.V1SpanWriterBenchmark.write,4731088.839186996,4693035.405130024,4644932.186970508,4682941.317616832,4662862.098081816,4681052.826700641,4647632.389128484,4747702.07165722,4700983.018336468,4680308.904365469,4684899.652093986,4670163.788464996,4656977.105111951,4669420.770314177,4679050.051000913,4691321.518759023,4674621.380261891,4663846.6404823,4689444.248720614,4670477.490096434,4719556.962708185,4674421.87462202,4632164.800781866,4695336.154088386,4707383.150779069,4695457.481919946,4696125.351582693,4721741.148930695,4687340.560117417,4711870.537271253
9,zipkin2.storage.cassandra.internal.HostAndPortBenchmark.parseIpv6NoPort,6845980.704191094,6841981.827808545,6856569.752371194,6884095.546522464,6851485.753305884,6865764.105399039,6860190.160288269,6868092.601557435,6859350.43585853,6861654.181610696,6860901.598988504,6839536.270971912,6880855.688603322,6850761.384765498,6877855.715844031,6850036.095306344,6853827.209606334,6861071.152319336,6884293.805636248,6868874.114317889,6866622.78905194,6862320.703454269,6854242.9215395255,6860522.2473393995,6855656.3530174475,6853366.732388237,6854924.789279067,6850658.328122667,6858063.226116014,6878016.958251852
