,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
0,zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_619b4edb_spansRoundTrip_JSON_V1,20138.114387797414,19098.418574548352,19411.239331764307,19941.484925741282,19905.303709828455,20346.727007024805,20919.38913291793,20627.362903269368,20708.615856824745,19609.078255667515,20454.96913092071,20196.96527693014,20622.488804642886,20156.36949080278,20152.549399341686,19759.752487786434,20587.965866474526,20424.200474248235,20294.886987807815,20843.319465619446,20761.200647501082,20566.08081958385,20128.88040876408,21065.293332064823,21124.610652301068,20792.438945268867,20709.85443440196,21118.038854697606,21100.257072081913,20297.8943128031
1,zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_bf14d415_niceErrorOnNull_annotationTimestamp,186569.65287373043,187510.4798855934,187425.19609053154,188509.2130200535,188821.5336166018,188700.43125854788,189186.98998907243,189129.43291587013,189097.55146060794,189369.94634823842,187714.3839552531,188153.92003004224,188192.0434504785,188390.34833375408,187645.5283673308,188140.49567331458,187980.31125152193,187966.43634433334,188317.4149511606,187586.68968635227,187193.53155182613,187617.40618238496,187747.25404004278,187945.89840410338,186469.5427405235,187898.6772257104,187379.27563552943,187309.87745190444,188050.23349550663,188074.73506903468
2,zipkin2.internal.V1ThriftSpanWriterTest._Benchmark.benchmark_3e5c0118_writesAddressBinaryAnnotation_producer,34297.58665514439,35073.69124629596,34899.10187388309,34898.55108195618,35246.2064561687,35833.78772944694,35329.09879412429,34916.132826836794,34866.96925843115,34933.000573314894,35067.8826363143,34821.27032303924,35126.02798966263,34997.54908663991,35020.096097455564,35079.12330084665,35075.41620454071,35597.91809135835,35782.9562206725,34842.07563732048,34928.44722239426,35206.18677923303,35148.892156086295,35146.5721802335,34779.51425393059,35000.05709019968,35120.096711112594,34928.9882670424,34910.49109875373,34983.78998067215
3,zipkin2.SpanBytesDecoderDetectorTest._Benchmark.benchmark_83d6197a_decoderForListMessage_proto3,1452209.6918532844,1448707.7565070102,1440408.2241424138,1443788.3775509668,1445590.325540628,1444745.5997529966,1443304.5140213193,1446472.7447566777,1438935.6819210656,1446547.6631373207,1448705.402410852,1447399.5868499065,1447391.8031547149,1444146.1667473984,1440009.9651646214,1438747.6039219173,1437011.2564183478,1445703.551361335,1441732.9576953233,1436027.495706609,1448260.3456207556,1446129.3030958024,1221349.3391038293,1368048.3375631913,1436396.8051869087,1440022.3614597565,1430110.8177040739,1433720.172945068,1439291.3797111507,1432232.792476438
4,zipkin2.v1.SpanConverterTest._Benchmark.benchmark_601adb01_clientAndServer,542534.7489109336,546061.6146514963,551577.6473672139,545146.1754565692,549431.503631074,547751.9117002811,556441.1924226257,555942.5214289933,551719.3209382856,556039.9901048183,559366.7229562928,544271.0181562584,543025.6549642984,547517.5366253357,554613.0873021279,539313.2083656151,538126.0255670865,556743.944676507,554504.3604961971,547986.9066139122,547863.4849961171,549438.5117227104,555014.2700205203,543732.1583557597,556314.2845249871,550160.2220041332,529096.6599590392,549711.7909310692,547256.4707655256,552979.2332043299
5,zipkin2.v1.SpanConverterTest._Benchmark.benchmark_b9a456af_client_missingCs,2103238.4599076984,2103147.6912111067,2083853.0701614525,2091960.7380844995,2092107.5059993796,2115886.9100856055,2070314.2134661435,2092616.875595899,2096370.5410461274,2107813.6667595957,2068709.9668710441,2100938.847635544,2083534.8164283028,2106696.4919127277,2112301.2775251837,2107224.374092628,2080369.3976039994,2091772.584558282,2117049.5834004586,2087400.5250631266,2088454.5478442698,2099877.5768704847,2088391.6944099437,2107362.5553657017,2111257.340766833,2119303.0062281624,2100579.6558061773,2053376.982577639,2105337.9483350744,2113317.0391624337
6,zipkin2.storage.ForwardingStorageComponentTest._Benchmark.benchmark_7a83ea23_delegatesCheck,37129.33131219101,37170.14411792978,37204.83747719992,37774.15342018307,36840.36725789235,37208.148218569906,37236.816544788264,37714.45962942828,37027.06674279123,36472.448801488696,36943.787467951515,37296.062917084215,37385.8666129076,37450.388883986234,37036.09012290454,36525.16381263506,36914.129155020295,37275.89566205049,37495.697351729934,37381.980844317106,37825.79358262465,38008.24899797691,37979.46525320853,38057.2220511336,37525.74222619322,37538.47615050231,36995.153085047634,36752.949247941775,37479.90798255125,37712.04062303619
7,zipkin2.codec.SpanBytesDecoderTest._Benchmark.benchmark_bf81b23c_niceErrorOnUppercase_traceId_JSON_V2,201475.50131310208,202143.64605570983,202484.59612719016,203518.46329775112,203378.19456943602,203646.49147940372,204015.8700094645,201079.06072778328,199059.17534259064,198140.18179820414,197110.054023784,196663.8348939641,198331.11595599187,198968.7710666096,199237.46943061892,198979.4627727895,199676.36352757216,198848.13100466423,197871.34409386222,199846.56164658655,200832.27995632472,199489.13398733217,200275.22030906708,200308.50333436,199767.0925216051,200197.7766882302,200365.31556612742,198983.21861257023,198836.71039907355,198873.4731651415
8,zipkin2.storage.QueryRequestTest._Benchmark.benchmark_799c732e_spanName_coercesAllToNull,1475538.7688879399,1465914.204620056,1490009.933639544,1479528.066701844,1461282.1307236813,1479465.0979400994,1510179.0587571892,1537674.808706844,1542548.0067818682,1531035.0060521935,1545563.9272428057,1514817.003690613,1543979.6714884723,1571891.733106463,1539282.8960922742,1544124.430066434,1539271.3212698495,1563688.483646465,1527419.347350464,1532706.8930385,1567954.917891017,1532128.0546102698,1527929.7132712656,1556718.4745346918,1529106.2845558093,1529040.6764277883,1520436.2277977187,1498488.9567754923,1560217.4313156253,1574774.454883408
9,zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_9423c302_replayOverwrites,841862.5849230301,833478.2692428553,840141.6663430305,846794.1323244566,841552.1512433429,843645.1883927195,844978.0875352918,836934.151228708,831033.2329835781,826183.7073402121,823774.35302681,821209.6822351961,823643.642340645,821462.3342959138,826454.8781678476,823362.1217285141,818151.0719149705,820561.4983052826,821544.0028515228,821872.5705446815,821236.6533744355,823861.5489489926,819789.5434896031,825437.1525347703,823719.1188700274,820262.389548294,822166.80693697,822842.9211375782,822132.5738102903,823991.1123021534
10,zipkin2.internal.Proto3SpanWriterTest._Benchmark.benchmark_3f9d59c4_writeList_offset_startsWithSpanKeyAndLengthPrefix,717090.8071320249,714023.0129816581,720908.2320812647,712598.1942728806,714278.3468169476,723898.9244669705,716701.8996429535,724092.6136998505,721830.0453800525,689398.4524452201,695040.1329421934,701862.5751661856,692073.5387476635,694943.7054638297,701377.5252877931,714101.3170712873,718827.7928102029,723518.2562231276,727659.3873132278,721414.2683562281,718074.6281766616,713328.4790296383,725416.1638266362,725889.2792434387,730189.9096040152,728909.3481931919,720738.518872289,742716.3428983071,757648.8991917587,752350.0366707521
11,zipkin2.internal.WriteBufferTest._Benchmark.benchmark_9378ea95_writeVarint_ports,403268.97536504385,402000.2943301617,398407.2358181693,398343.536435228,398838.2612184158,398747.1600584538,399164.1510237376,403434.4052951918,400163.039119326,395238.26830334676,395337.0548908865,391667.5183119877,399144.6015140164,398953.4275210886,400074.97219646384,397149.37607715826,399275.9348123335,401486.9480967359,398270.6188418275,403978.3879642007,402291.0091232847,397441.11838230287,397771.0962917806,403411.95895984897,400510.0925847654,401277.7988101508,400912.5530875147,401601.7331101158,401121.41683838505,403968.70902550436
12,zipkin2.internal.V2SpanWriterTest._Benchmark.benchmark_e69d5e88_omitsEmptySpanName,941561.1858654377,932565.5015042755,930428.6881962867,929968.5594693382,925032.5807725745,918691.5160638093,937439.4670385601,918358.882132125,922346.2907746573,929237.3927154965,921873.1116972246,916850.5454716686,920503.5341390469,929857.6591674282,935533.2134744389,930778.7270660374,926237.1957863454,930383.6889206355,936704.0358577803,927455.5142493602,933900.3497142481,945768.7922517303,930983.7313531566,938428.5087396103,937594.9046119673,934802.0693809584,931251.4121106459,922463.4179025071,932008.1040654372,939921.7940005846
